Continent,Area (km²),Population,Unemployment Rate,Taxes (% of GDP),External Debt (USD),Exchange Rate (USD),Internet Users,Internet Users Percentage of Population,Airports,Roadways (km),Militar Expenditures (% of GDP),GDP (USD),Type of Income
Asia,652230,37466414,23.9,23.9,7.0,7.87,4717013.0,13.5,46.0,34903.0,1.2,2065,lower-income
Europe,28748,3088385,5.83,5.83,71.8,102.43,2196613.0,71.85,3.0,3945.0,1.3,13965,average-income
Africa,2381740,43576691,11.7,11.7,27.5,131.085,24819531.0,59.58,149.0,104000.0,6.0,11511,average-income
Oceania,224,46366,29.8,29.8,12.2,1.0,17000.0,31.3,3.0,241.0,1.55,11200,average-income
Europe,468,85645,3.7,3.7,41.0,0.885,78483.0,91.57,41.5,320.0,1.56,49900,high-income
Africa,1246700,33642646,6.6,6.6,65.0,172.6,4353033.0,14.34,102.0,26000.0,1.7,6670,average-income
Central America and the Caribbean,91,18403,8.0,8.0,20.1,2.7,14211.0,81.57,1.0,175.0,1.05,12200,average-income
Central America and the Caribbean,443,99175,11.0,11.0,86.8,2.7,72870.0,76.0,3.0,1170.0,1.05,21910,average-income
South America,2780400,45864941,9.84,9.84,57.6,82.034,33203320.0,74.29,916.0,281290.0,0.7,22064,average-income
Asia,29743,3011609,18.9,18.9,53.5,487.9,1966942.0,64.74,7.0,7700.0,4.3,13654,average-income
Central America and the Caribbean,180,120917,7.7,7.7,86.0,1.79,113277.0,97.17,1.0,1000.0,1.05,37500,high-income
Oceania,7741220,25809973,5.16,5.16,40.8,1.34048,21419302.0,86.55,418.0,873573.0,2.1,49854,high-income
Europe,83871,8884864,7.35,7.35,78.6,0.82771,7712665.0,87.71,50.0,137039.0,0.7,56188,high-income
Asia,86600,10282283,5.0,5.0,54.1,1.723,8017120.0,79.8,23.0,24981.0,4.0,14404,average-income
Central America and the Caribbean,13880,352655,10.1,10.1,54.6,1.0,282739.0,85.0,54.0,2700.0,1.05,37101,high-income
Middle East,760,1526929,3.6,3.6,88.5,0.37705,1423039.0,98.64,4.0,4122.0,3.7,45011,high-income
Asia,148460,164098818,4.4,4.4,33.1,84.75,23917950.0,15.0,18.0,369105.0,1.3,4754,lower-income
Central America and the Caribbean,430,301865,10.1,10.1,157.3,2.0,239664.0,81.76,1.0,1700.0,0.9,15639,average-income
Europe,207600,9441842,0.8,0.8,53.4,1.9,7539145.0,79.13,65.0,86600.0,1.2,19150,average-income
Europe,30528,11778842,5.36,5.36,103.4,0.82771,10258638.0,88.66,41.0,118414.0,1.07,51934,high-income
Central America and the Caribbean,22966,405633,9.0,9.0,99.0,2.0,181660.0,47.08,47.0,3281.0,1.2,7005,average-income
Africa,112622,13301694,1.0,1.0,54.6,605.3,2403596.0,20.0,6.0,16000.0,0.7,3287,lower-income
North America,54,72084,7.0,7.0,43.0,1.0,70016.0,98.37,1.0,447.0,1.42,81798,high-income
Asia,38394,857423,3.2,3.2,106.3,64.97,368714.0,48.11,2.0,12205.0,2.05,11832,average-income
South America,1098581,11758869,4.0,4.0,49.0,6.91,4955569.0,43.83,855.0,90568.0,1.4,8724,average-income
Europe,51197,3824782,33.28,33.28,39.5,1.729,2699544.0,70.12,24.0,22926.0,0.9,14912,average-income
Africa,581730,2350667,20.0,20.0,14.0,10.90512,1057079.0,47.0,74.0,31747.0,2.8,17767,average-income
South America,8515770,213445417,11.93,11.93,84.0,5.12745,140908998.0,67.47,4093.0,2.0,1.5,14652,average-income
Central America and the Caribbean,151,37891,2.9,2.9,53.3,1.0,27818.0,77.7,4.0,200.0,1.05,34200,high-income
Southeast Asia,5765,471103,6.9,6.9,2.8,1.33685,426234.0,94.6,1.0,2976.0,3.3,62100,high-income
Europe,110879,6919180,5.66,5.66,23.9,1.61885,4571851.0,64.78,68.0,19512.0,1.6,23174,average-income
Africa,274200,21382659,77.0,77.0,38.1,605.3,3158834.0,16.0,23.0,15304.0,2.4,2178,lower-income
Southeast Asia,676578,57069099,4.0,4.0,33.6,1.0,17064985.0,30.68,64.0,157000.0,2.7,5142,average-income
Africa,27830,12241065,11.5,11.5,51.7,1.0,298684.0,2.66,7.0,12322.0,1.8,752,lower-income
Africa,4033,589451,9.0,9.0,125.8,101.8,330623.0,58.17,9.0,1350.0,0.5,7172,average-income
Southeast Asia,181035,17304363,0.3,0.3,30.4,4.0,6579808.0,40.0,16.0,47263.0,2.3,4389,lower-income
Africa,475440,28524175,4.3,4.3,36.9,605.3,6089200.0,23.2,33.0,77589.0,1.1,3642,lower-income
North America,9984670,37943231,5.67,5.67,89.7,1.28035,33743954.0,91.0,1467.0,1042300.0,1.42,49031,high-income
Central America and the Caribbean,264,63131,4.0,4.0,53.3,0.82,48328.0,81.07,3.0,785.0,1.05,71549,high-income
Africa,622984,5357984,6.9,6.9,52.9,605.3,249336.0,4.34,39.0,24000.0,1.5,945,lower-income
Africa,1284000,17414108,11.5,11.5,52.5,605.3,1029153.0,6.5,59.0,40000.0,2.2,1580,lower-income
South America,756102,18307925,7.22,7.22,23.6,738.81,14757868.0,82.33,481.0,77801.0,1.8,24226,average-income
