Name,Continent,Area (km²),Population,Unemployment Rate,Taxes (% of GDP),External Debt (USD),Exchange Rate (USD),Internet Users,Internet Users Percentage of Population,Airports,Roadways (km),Militar Expenditures (% of GDP),GDP (USD),Type of Income
Afghanistan,Asia,5.8144007707576035,7.573642127720432,4.888762624632126,4.888762624632126,2.6457513110645907,2.8053520278211077,6.673667073154857,3.6742346141747673,1.662757831681574,186.8234460660653,0.07918124604762482,3.31492005599242,lower-income
Albania,Europe,4.45860763618471,6.4897314344594434,2.414539293529927,2.414539293529927,8.473488065725943,10.120770721639731,6.34175354951536,8.476437931112336,0.47712125471966244,62.80923498976882,0.11394335230683679,4.145040940037024,average-income
Algeria,Africa,6.376894350459825,7.639254248971236,3.420526275297414,3.420526275297414,5.244044240850758,11.44923578235683,7.394793570634248,7.718808198161164,2.173186268412274,322.49030993194197,0.7781512503836436,4.061113053917979,average-income
American Samoa,Oceania,2.3502480183341627,4.6661996308783635,5.458937625582473,5.458937625582473,3.492849839314596,1.0,4.230448921378274,5.594640292279746,0.47712125471966244,15.524174696260024,0.1903316981702915,4.049218022670182,average-income
Andorra,Europe,2.670245853074124,4.932702013702065,1.9235384061671346,1.9235384061671346,6.4031242374328485,0.9407443861113389,4.894775595525615,9.569221493935649,1.6180480967120927,17.88854381999832,0.1931245983544616,4.69810054562339,high-income
Angola,Africa,6.0957619594775005,7.526890145806249,2.569046515733026,2.569046515733026,8.06225774829855,13.137731919931994,6.638791959522107,3.7868192457522976,2.0086001717619175,161.24515496597098,0.2304489213782739,3.824125833916549,average-income
Anguilla,Central America and the Caribbean,1.9590413923210936,4.264888626120619,2.8284271247461903,2.8284271247461903,4.483302354291979,1.6431676725154984,4.152624639447619,9.031611151948471,0.0,13.228756555322953,0.021189299069938092,4.086359830674748,average-income
Antigua and Barbuda,Central America and the Caribbean,2.6464037262230695,4.996402209146188,3.3166247903554,3.3166247903554,9.316651759081692,1.6431676725154984,4.862548769524793,8.717797887081348,0.47712125471966244,34.20526275297414,0.021189299069938092,4.340642377560705,average-income
Argentina,South America,6.4441072798376,7.661480839173804,3.1368774282716245,3.1368774282716245,7.58946638440411,9.057262279519126,7.521181510980899,8.619164692706597,2.9618954736678504,530.3677969107853,-0.1549019599857432,4.343684248831774,average-income
Armenia,Asia,4.473384771103771,6.478798586331722,4.347413023856832,4.347413023856832,7.314369419163897,22.088458524759034,6.293791553894259,8.046117075956575,0.8450980400142568,87.74964387392122,0.6334684555795865,4.135259898515659,average-income
